longname,shortname,year,chapid
"Zielinski, P.A. (2009), Safety of Dams , Probable Maximum Flood and the Selection of Inflow Design Floods. In Proc. Canadian Dam Association Annual Conference. Whistler, British Columbia.",Zielinski,2009,b8_c_r87
"Bureau of Meteorology. (2006), Guidebook to the Estimation of Probable Maximum Precipitation: Generalised Southeast Australia Method. Hydrometeorological Advisory Service, Bureau of Meteorology.",Bureau of Meteorology,2006,b8_c_r9
ICOLD (International Commission on Large Dams). (1991) Vienna.,ICOLD,1991,b8_c_r90
"Newton, D. W. and Herrin, J. C. (1982), Assessment of commonly used methods of estimating flood frequency. Transportation Research Record, p.896.",Newton,1982,b8_c_r91
"Nathan, R., Hill, P, and Weinmann, E. (2011): Achieving consistency in derivation of the Probable Maximum Flood, ANCOLD 2011 Conference on Dams. Melbourne.",Nathan et al,2011,b8_c_r92
"Abramowitz, M. and Stegun, I.A. (1964), Handbook of Mathematical Functions with Formulas, Graphs, and Mathematical Tables, Applied mathematics series, Dover Publications",Abramowitz and Stegun,1964,b8_c_r94
"Green, J.H., Beesley, C., The, C., Podger, S., and Frost, A. (2016): Comparing CRC-FORGE estimates and the New Rare Design Rainfalls. Proc. ANCOLD Conference, Adelaide",Green et al,2016,b8_c_r95
"Lang, S., Zhang, J., Scorah, M., and Nathan, R. (2016): Characterising the location and rarity of annual maxima rainfall in the GTSM-R coastal zone. Proc. Hydrology and Water Resources Symposium, Melbourne.",Lang et al,2016,b8_c_r96
"Kyselý, J. (2008), A Cautionary Note on the Use of Nonparametric Bootstrap for Estimating Uncertainties in Extreme-Value Models. J. Appl. Meteor. Climatol., 47, 3236–3251",Kyselý,2008,b8_c_r97
"Podger, S, Babister, M. and Brady, P. (2016): Deriving temporal patterns for areal rainfall bursts In: 37th Hydrology & Water Resources Symposium 2016: Water, Infrastructure and the Environment. Barton, ACT: Engineers Australia.",Podger  et al,2016,b8_c_r98
"Watt, S., Sciacca, D., Hughes, M., Pedruco, P. (2018): A quick method for estimating the Probable Maximum Flood in the Coastal Zone. Proc. Hydrology and Water Resources Symposium, Melbourne.",Watt et al,2018,b8_c_r99
"Lam, D., Thompson, C., Croke, J., Sharma, A., Macklin, M. (2017a). Reducing uncertainty with flood frequency analysis: the contribution of palaeoflood and historical flood information. Water Resour. Res. 53, 2312–2327",Lam et al,2017a,b8_c_r100
"Lam, D., Croke, J., Thompson, C., Sharma, A. (2017b). Beyond the gorge: Palaeoflood reconstruction from slackwater deposits in a range of physiographic settings in subtropical Australia. Geomorphology, 292, 164-177.",Lam et al,2017b,b8_c_r100
"Argueso D., Evans, J.P., Fita, L. and Bormann, K.J. (2014), Temperature response to future urbanisation and climate change. Climate Dynamics. Volume42(7), pp.2183-2199.",Argueso et al,2014,b9_c2_r1
"Bhaskar, A. and Welty, C. (2012), Water Balances along an Urban-to-Rural Gradient of Metropolitan Baltimore, 2001-2009. Environmental & Engineering Geoscience Volume28(1): pp.37-50.",Bhaskar and Welty,2012,b9_c2_r10
"Boyd, M.J., Bufill, M.C. and Knee, R. (1993), Pervious and impervious runoff in urban catchments. Hydrological Sciences Journal Volume 38(6), pp.463-478.",Boyd et al,1993,b9_c2_r11
"Boyd, M.J., Bufill, M.C. and Knee, R.M. (1994), Predicting pervious and impervious storm runoff from urban drainage basins. Hydrological Sciences Journal Volume 39(4), pp.321-332.",Boyd et al,1994,b9_c2_r12
"Brandes, D., Cavallo, G.J. and Nilson, M.L. (2005), Base flow trends in urbanizing watersheds of the Delaware river basin. Journal of the American Water Resources Association Volume 41(6), pp. 1377-1391.",Brandes et al,2005,b9_c2_r13
"Brath, A., Montanari, A., and Moretti, G. (2006), Assessing the effect on flood frequency of land use change via hydrological simulation (with uncertainty), Journal of Hydrology Volume 324(1-4), pp. 141-153.",Brath et al,2006,b9_c2_r14
"Bufill, M.C. and Boyd, M.J. (1989), Effect of urbanization on catchment lag parameters. Hydrology and Water Resources Symposium. Christchurch, NZ, 23-30 November. pp.171-178.",Bufill and Boyd,1989,b9_c2_r15
"Bureau of Meteorology. (2015), National Water Accounts. Available at http://www.bom.gov.au/water/nwa/ (accessed 12 June 2015).",Bureau of Meteorology,2015,b9_c2_r16
"Carroll, D.G. (1995). Assessment of the effects or urbanisation on peak flow rates. Second International Symposium on Urban Stormwater Management 1995: Integrated Management of Urban Environments. Engineers Australia, Canberra. pp.201-208.",Carroll,1995,b9_c2_r17
"Codner, G.P., Laurenson, E.M. and Mein, R.G. (1988), Hydrologic Effects of Urbanisation: A case study. Hydrology and Water Resources Symposium, ANU Canberra, 1-3 Feb 1988, Institution of Engineers Australia. pp.201-205.",Codner et al,1988,b9_c2_r18
"Commonwealth of Australia (2015), Stormwater management in Australia. The Senate. Environment and Communications Reference Committee. Australian Government. Canberra",Commonwealth of Australia,2015,b9_c2_r19
"ASCE (American Society of Civil Engineers) (1975), Aspects of hydrological effects of urbanization. ASCE Task Committee on the effects of urbanization on low flow, total runoff, infiltration, and groundwater recharge of the Committee on surface water hydrology of the Hydraulics Division. Journal of the Hydraulics DivisionHY5: 449-468.",ASCE,1975,b9_c2_r2
"Coombes (2015), Submission to the Senate Standing Committees on Environment and Communications inquiry into the quantum of stormwater resource in Australia and impact and potential of optimal management practices in areas of flooding, environmental impacts, waterway management and water resource planning. The Senate. Environment and Communications Reference Committee. Australian Government. Canberra",Coombes,2015,b9_c2_r20
"Coombes P.J. and Barry M.E. (2012), The impact of spatial and temporal averages on prediction of water security using systems analysis - towards understanding the true potential of WSUD. 7th International Conference on WSUD. Melbourne.",Coombes and Barry,2012,b9_c2_r21
"Coombes P.J. and Bonacci Water (2012), Living Melbourne, Living Victoria. Greater Melbourne systems model - modelling in support of the Living Victoria Ministerial Advisory Council. Available at http://urbanwatercyclesolutions.com",Coombes and Bonacci Water,2012,b9_c2_r22
"Coombes P.J. (2012), Effectiveness of rainwater harvesting for management of the urban water cycle in South East Queensland. Report by Urban Water Cycle Solutions for the Rainwater Harvesting Association of Australia and the Association of Rotomoulders Australasia, Carrington, NSW. Available at http://urbanwatercyclesolutions.com",Coombes,2012,b9_c2_r23
"Coombes P.J. and Lucas, S.A. (2006), Towards Sustainable Water Strategies in the Perth Region of Westerns Australia: Inclusion of Decentralised Options, Hydropolis Conference, Perth, Western Australia",Coombes and Lucas,2006,b9_c2_r24
"Cordery, I. (1976), Some effects of urbanisation on streams. Civil Engineering Transactions, The institution of Engineers, Australia: Volume CE18(1), pp.7-11.",Cordery,1976,b9_c2_r25
"Coutts, A.M., Beringer, J., Jimi, S. and Tapper, N.J. (2009), The urban heat island in Melbourne: drivers, spatial and temporal variability, and the vital role of stormwater. Stormwater 2009. Stormwater Industry Association.",Coutts et al,2009,b9_c2_r26
"Delleur, J.W. (2003), The evolution of urban hydrology: past, present and future. Journal of Hydraulic Engineering Volume 129: pp.563-573.",Delleur,2003,b9_c2_r27
"Espey, W.H. and Winslow, D.E. (1974), Urban flood frequency characteristics. Journal of the Hydraulics Division. American Society of Civil Engineers Volume 100(HY2), pp.279-293.",Espey and Winslow,1974,b9_c2_r28
"Ferguson, B.K. and Suckling, P.W. (1990), Changing rainfall-runoff relationships in the urbanizing Peachtree Creek Watershed, Atlanta, Georgia. Water Resources Bulletin Volume 26(2), pp.313-322.",Ferguson and Suckling,1990,b9_c2_r29
"Al-Rashed, M.F. and Sherif, M.M. (2001), Hydrogeological aspects of groundwater drainage of the urban areas in Kuwait City. Hydrological Processes15: pp.777-795.",Al-Rashed and Sherif,2001,b9_c2_r3
"Grimmond, C.S.B. and Oke, T.R. (1986), Urban Water Balance: 2. Results From a Suburb of Vancouver, British Columbia. Water Resources Research Volume 22(10), pp.1404-1412.",Grimmond and Oke,1986,b9_c2_r30
"Hardy, M.J., Coombes, P.J. and Kuczera, G.A. (2004), An investigation of estate level impacts of spatially distributed rainwater tanks, 2004 International Conference on Water Sensitive Urban Design, Engineers Australia, Adelaide, Australia",Hardy et al,2004,b9_c2_r31
"Heejun, C. (2007), Comparative streamflow characteristics in urbanizing basins in the Portland Metropolitan Area, Oregon, USA. Hydrological Processes, Volume 21(2), pp.211-222.",Heejun,2007,b9_c2_r33
"Hill, P.I., Graszkiewicz, Z., Taylor, M. and Nathan, R. (2014), Loss models for catchment simulation: Phase 4. Analysis of Rural Catchments. Australian Rainfall and Runoff Report No. P6/S3/016B. Engineers Australia.",Hill et al,2014,b9_c2_r34
"Hill, P.I., Mein, R.G. and Siriwardena, L. (1998), How much rainfall becomes runoff: loss modelling for flood estimation. Cooperative Research Centre for Catchment Hydrology, Melbourne.",Hill et al,1998,b9_c2_r35
"Hollis, G.E. (1988), Rain, Roads, Roofs and Runoff: Hydrology in Cities. Geography Volume 73(1), pp.9-18.",Hollis,1988,b9_c2_r36
"Hollis, G.E. and Ovenden, J.C. (1988), One year irrigation experiment to assess losses and runoff volume relationships for a residential road in Hertfordshire, England. Hydrological Processes Volume 2, pp.61-74.",Hollis and Ovenden,1988,b9_c2_r37
"Hollis, G.E. and Ovenden, J.C. (1988), The quantity of stormwater runoff from ten stretches of road, a car park and eight roofs in Hertfordshire, England during 1983. Hydrological Processes Volume 2, pp.227-243.",Hollis and Ovenden,1988,b9_c2_r38
"Hollis, G.E. (1975), The effect of urbanization on floods of different recurrence interval Water Resources Research, Volume 11, pp.431-435.",Hollis,1975,b9_c2_r39
"Askarizadeh, A., Rippy, M.A., Fletcher, T.D., Feldman, D.L., Peng, J., Bowler, P., Mehring, A.S., Winfrey, B.K., Vrugt, J.A., AghaKouchak, A., Jiang, S.C., Sanders, B.F., Levin, L.A., Taylor, S. and Grant, S.B. (2015), From rain tanks to catchments: use of low-impact development to address hydrologic symptoms of the urban stream syndrome. Environmental Science and Technology49(19): pp.11264-11280.",Askarizadeh et al,2015,b9_c2_r4
"Jacobson, C.R. (2011), Identification and quantification of the hydrological impacts of imperviousness in urban catchments: a review. Journal of Environmental Management Volume 92, pp.1438-1448.",Jacobson,2011,b9_c2_r40
"Kenway, S., Gregory, A. and McMahon, J. (2011), Urban Water Mass Balance Analysis. Journal of Industrial Ecology Volume 15(5), pp.693-706.",Kenway et al,2011,b9_c2_r41
"Ku, H.F.H., Hagelin, N.W. and Buxton, H.T. (1992), Effects of urban storm-runoff control on Ground-water recharge in Nassau County, New York. Ground Water Volume 30 (4): pp.507-514.",Ku et al,1992,b9_c2_r42
"Lerner, D.N. (2002), Identifying and quantifying urban recharge: a review. Hydrogeology Journal Volume 10: pp.143-152.",Lerner,2002,b9_c2_r43
"Leopold, L.B. (1968), Hydrology for urban land planning - A guidebook on the hydrologic effect of urban land use. U.S Geological Survey, Circular. Volume 554, pp.18, available at http://pubs.usgs.gov/circ/1968/0554/report.pdf",Leopold,1968,b9_c2_r44
"McFarlane, D.J. (1984), The effect of urbanisation on ground-water quality and quantity in Perth, Western Australia. PhD thesis. The University of Western Australia.",McFarlane,1984,b9_c2_r45
"McMahon, G., Bales, J.D., Coles, J.F., Giddings, E.M.P. and Zappia, H. (2003), Use of stage data to Characterize hydrologic conditions in an urbanizing environment. Journal of the American Water Resources Association Volume 39(6): pp.1529-1546.",McMahon et al,2003,b9_c2_r46
"Mein, R.G. and Goyen, A.G. (1988), Urban runoff. Civil Engineering Transactions. Volume CE30(4), pp.225-238.",Mein and Goyen,1988,b9_c2_r47
"Melbourne Water (2012), Planning for sea level rise. 5 June 2012. available at http://www.melbournewater.com.au/Planning-and-building/Forms-guidelines-and-standard-drawings/Documents/Planning-for-sea-level-rise-guidelines.pdf",Melbourne Water,2012,b9_c2_r48
"Mitchell, V.G., McMahon, T.A and Mein, R.G. (2003), Components of the Total Water Balance of an Urban Catchment. Environmental Management Volume 32(6), pp. 735-746.",Mitchell et al,2003,b9_c2_r49
"Baker, A., Rasmussen, P., Parkyn, K., Catchlove, R. and Kazazic, E. (2005), A Case Study of the December 2003 Melbourne Storm: the Meteorology, Rainfall Intensity, and Impacts of Flash Flooding. 29th Hydrology and Water Resources Symposium. Canberra. Engineers Australia.",Baker et al,2005,b9_c2_r5
"Packman, J.C. (1981), Effects of catchment urbanization on flood flows. ICE, Flood studies report - Five Years On. Proceedings of a conference organized by the Institution of Civil Engineers, held in Manchester, 22-24 July. Thomas Telford Ltd, London, pp.121-129.",Packman,1981,b9_c2_r50
"Parker, A. (2013), Melbourne heat island contamination of temperature trend maps in Victoria, Australia. Journal of Non-linear Engineering. Volume 2(1-2), pp.39-62",Parker,2013,b9_c2_r51
"Prosdocimi, I., Kjeldsen, T.R. and Miller, J.D. (2015), Detection and attribution or urbanization effect on flood extremes using nonstationary flood-frequency models. Water Resources Research Volume 51(6), pp.4244-4262.",Prosdocimi et al,2015,b9_c2_r52
"Ronan, N.M. (2009), Future flood resilience - Victoria's next strategy. Albury, Floodplain Management Association.",Ronan,2009,b9_c2_r53
"Schueler, T. (1994), The importance of imperviousness. Watershed Protection Techniques 1(3).",Schueler,1994,b9_c2_r54
"Simmons, D.L. and Reynolds, R.J. (1982), Effects of urbanisation on base flow of selected south-shore streams, Long Island, New York. Water Resources Bulletin Volume 18(5), pp.797-805.",Simmons and Reynolds,1982,b9_c2_r55
"Smith, B. K., Smith, J.A., Baeck, M.L., Villarini, G. and Wright, D.B. (2013), Spectrum of storm event hydrologic response in urban watersheds. Water Resources Research Volume 49, pp.2649-2663.",Smith et al,2013,b9_c2_r56
"Stephenson, D. (1994), Comparison of the water balance for an undeveloped and a surburban catchment. Hydrological Sciences Journal Volume 39(4), pp.295-307",Stephenson,1994,b9_c2_r57
"Tarr, J.A. (1979), The separate vs. combined sewer problem: a case study in urban technology design choice. Journal of Urban History, Volume 5(3), pp.308-339.",Tarr,1979,b9_c2_r58
"Tholin, A.L. and Keifer, C.J. (1959), The hydrology of urban runoff. Journal of the Sanitary Engineering Division, Volume 85(SA2), pp.47-106.",Tholin and Keifer,1959,b9_c2_r59
"Baker, D.B., Richards, R.P., Loftus, T.T. and Kramer, J.W. (2004), A new flashiness index: characteristics and applications to Midwestern rivers and streams. Journal of the American Water Resources Association40: pp.503-522.",Baker et al,2004,b9_c2_r6
"Walsh, C.J., Roy, H., Feminella, J.W., Cottingham, P., Groffman, P.M. and Morgan, R. (2005), The urban stream syndrome: current knowledge and the search for a cure. Journal North American Benthological Society Volume 24(3), pp.706-723.",Walsh et al,2005,b9_c2_r60
"Walsh, C.J., Fletcher, T.D. and Burns, M.J. (2012), Urban stormwater runoff: a new class of environmental flow problem. PLOSone DOI: 10.1371/journal.pone.0045814",Walsh et al,2012,b9_c2_r61
"Western, A.W. and Grayson, R.B. (2000), Soil moisture and runoff processes at Tarrawarra. In: Grayson, R. G. and Blöschl, G. (eds) Spatial Patterns in Catchment Hydrology: Observations and Modelling. Cambridge University Press, pp.209-46.",Western and Grayson,2000,b9_c2_r62
"Wong, T., Breen, P.F. and Lloyd, S. (2000), Water sensitive road design - design options for improving stormwater quality of road surfaces. Cooperative Research Centre for Catchment Hydrology. Melbourne.",Wong et al,2000,b9_c2_r63
"Woolmington, E. and Burgess, J.S. (1983), Hedonistic water use and low-flow runoff in Australia's national capital, Urban Ecology, volume 7(3), pp. 215-227.",Woolmington and Burgess,1983,b9_c2_r64
"Harris, E. E. and Rantz, S. E. (1964) Effect of urban growth on streamflow regimen of Permanente Creek Santa Clara County, California: Hydrological effects of urban growth. Geological survey water-supply paper 1591-B. US Department of the Interior.",Harris and Rantz,1964,b9_c2_r65
"Walsh C.J., (2018), The water we should be using first – stormwater runoff from roofs and roads,                 https://urbanstreams.net/tools/melbrunoff/",Walsh,2018,b9_c2_r66
"Barron, O.V., Barr, A.D. and Donn, M.J. (2013), Effect of urbanization on the water balance of a catchment with shallow groundwater. Journal of Hydrology Volume 485, pp.162-176.",Barron et al,2013,b9_c2_r7
"Beighley, R.E. and Moglen, G.E (2002), Trend assessment in rainfall-runoff behaviour in urbanising watersheds. Journal of Hydrologic Engineering Volume 7(1) pp.27-34",Beighley and Moglen,2002,b9_c2_r8
"Bell, F.C. (1972), The acquisition, consumption and elimination of water by the Sydney Urban System. Proceedings of the Ecology Society of Australia Volume7, pp. 161-176.",Bell,1972,b9_c2_r9
"Argue, J. R. (2017), Water Sensitive Urban Design: basic procedures for 'source control' of storm water - a handbook for Australian practice. Urban Water Resources Centre, University of South Australia, Adelaide, South Australia, in collaboration with Stormwater Industry Association and Australian Water Association. ISBN 1 920927 18 2, Adelaide.",Argue,2017,b9_c3_r1
"Coombes, P.J., Argue, J.R. and Kuczera, G.A. (2000), Figtree Place: a case study in water sensitive urban development (WSUD), Urban Water, Volume 1(4), pp.335-343.",Coombes et al,2000,b9_c3_r10
"Daniell, K.A., Coombes, P.J. and White, I. (2014), Politics of innovation in multi-level water governance systems. Journal of Hydrology. Volume  519(C), pp.2415-2435.",Daniell et al,2014,b9_c3_r11
"EA., (2006). Australian Runoff Quality: a guide to Water Sensitive Urban Design. Editor in Chief: T.H.F. Wong. Engineers Australia. Canberra.",Engineers Australia,2006,b9_c3_r12
"IEAust. (1977), Australian Rainfall and Runoff: flood analysis and design. The Institution of Engineers Australia. Canberra.","Institution of Engineers, Australia",1977,b9_c3_r14
"IEAust. (1958), Australian Rainfall and Runoff: first report of the stormwater standards. The Institution of Engineers Australia. Canberra.","Institution of Engineers, Australia",1958,b9_c3_r15
"Kuczera G.A., Lambert, M., Heneker, T., Jennings, S., Frost, A. and Coombes, P.J. (2006), Joint probability and design storms at the crossroads. Australian Journal of Water Resources, Volume 10, pp.63-79.",Kuczera et al,2006,b9_c3_r16
"Lloyd, C.J., Troy, P. and Schreiner, S. (1992,. For the Public Health, Longman Cheshire, Melbourne",Lloyd et al,1992,b9_c3_r17
"Lloyd, S.D., Wong, T.H.F. and Porter, B. (2002), The planning and construction of an urban stormwater management scheme. Water Science and Technology. International Water Association. Volume 45(7), pp.1-10.",Lloyd et al,2002,b9_c3_r18
"McAlister, T., Coombes, P.J. and Barry, M.E. (2004), Recent South East Queensland Developments in Integrated Water Cycle Management - Going Beyond WSUD. Cities as Catchments:WSUD2004, Adelaide, SA, Australia.",McAlister et al,2004,b9_c3_r19
"Aishett E., and Steinhauser, E. (2011), Does anybody give a dam. The importance of public awareness for urban water conservation during drought. Submission by the Australian National University to the Productivity Commission.",Aishett and Steinhauser,2011,b9_c3_r2
"Mitchell, V.G., McMahon, T.A. and Mein, R.G. (2003), Components of the total water balance of an urban catchment. Environmental Management, Volume 32, pp.735-746.",Mitchell et al,2003,b9_c3_r20
"PMSEIC. (2007), Water for Our Cities: building resilience in a climate of uncertainty. A report of the Prime Minister's Science, Engineering and Innovation Council working group. Australian Government. Canberra.",PMSEIC,2007,b9_c3_r21
"Pezzaniti, D., Argue, J.R. and Johnston, L. (2002). Detention/retention storages for peak flow reduction in urban catchments: effects of spatial deployment of storages. Australian Journal of Water Resources. Volume 7(2), pp.1-7.",Pezzaniti et al,2002,b9_c3_r22
"Poelsma, P.J., Fletcher, T.D. and Burns, M.J. (2013). Restoring natural flow regimes: the importance of multiple scales. Proceedings of Novatech Conference, Lyon, France, pp.23-27.",Poelsma et al,2013,b9_c3_r23
"Victorian Government (2013), Melbourne's Water Future.",Victorian Government,2013,b9_c3_r24
"Walsh, C.J. (2004), Protection of in-stream biota from urban impacts: minimise catchment imperviousness or improve drainage design? Marine and Freshwater Research Volume 55, pp.317-326.",Walsh,2004,b9_c3_r25
"Weinmann, E. (2007), Hydrology and Water Resources: the challenge of finding the water balance. Australian Journal of Water Resources. Volume 11(2), pp.121-132.",Weinmann,2007,b9_c3_r26
"Whelans and Halpern Glick Maunsell (1994), Planning and Management Guidelines for Water Sensitive Urban (Residential) Design, report prepared for the Department of Planning and Urban Development the Water Authority of Western Australia and the Environmental Protection Authority.",Whelans and Maunsell,1994,b9_c3_r27
"Wong, T.H.F. (2006), Water Sensitive Urban Design: the journey thus far. Australian Journal of Water Resources. Volume 10(3), pp.213-221.",Wong,2006,b9_c3_r28
"Wong, T.H.F., Knights, D. and Lloyd, S.D. (2008), Hydrologic, water quality and geomorphic indicators of catchment Effective Imperviousness, Australian Journal of Water Resources, 12(2), Engineers Australia, pp.111-119.",Wong et al,2008,b9_c3_r29
"Barton A.F., Coombes, P.J., Sharma, A. (2007), Impacts of innovative WSUD intervention strategies on infrastructure deterioration and evolving urban form. Rainwater and Urban Design Conference 2007, Engineers Australia, Sydney.",Barton et al,2007,b9_c3_r3
"Wasko, C. and Sharma, A. (2015), Steeper temporal distribution of rain intensity at higher temperatures within Australian storms, Nature Geoscience, volume8(7), pp.527 - 529.",Wasko and Sharma,2015,b9_c3_r30
"Barry, M.E. and Coombes, P.J. (2006), 'Optimisation of Mains Trickle Topup Supply to Rainwater Tanks in an Urban Setting', Australian Journal of Water Resources, 10 269-276",Barry and Coombes,2006,b9_c3_r31
"Armstrong, J.W. (1967), Pipelines and People, Halstead Press, Sydney.",Armstrong,1967,b9_c3_r32
"Coombes, P.J. (2007), Energy and economic impacts of rainwater tanks on the operation of regional water systems. Australian Journal of Water Resources, Volume 11(2), pp.177-191",Coombes,2007,b9_c3_r33
"Chee YE. 2015. Principles underpinning biodiversity offsets and guidance on their rise. In van der Ree R. Smith DJ and Grilo C (eds.) Handbook of Road Ecology. John Wiley & Sons, Ltd, Chichester, West Sussex, pp. 51-59",Chee,2015,b9_c3_r34
"Coker, M. E., Bond, N.R., Chee, Y.E., and Walsh C.J., (2018), Alternatives to biodiversity offsets for mitigating the effects of urbanization on stream ecosystems, Conservation Biology",Croker et al,2018,b9_c3_r35
"DCWater, (2018), Impervious Area Charge,   https://www.dcwater.com/impervious-area-charge  [accessed on 16/04/2018], District of Columbia Water and Sewer Authority, USA.",DCWater,2018,b9_c3_r36
"Haensch, J., Wheeler, S. A., Zuo, A., and Bjornlund, H., (2016), The impact of water and soil salinity on water market trading in the southern Murray-Darling Basin, Water Economics and Policy, 2(1), article no. 1650004, 1-26",Haensch et al,2016,b9_c3_r37
"Kraemer, R. A., Kampa, E., and Interwies, E., (2004,. The role of tradable permits in water pollution control, Inter-American Development Bank.",Kraemer et al,2004,b9_c3_r38
"MWC, (2018), Stormwater offsets explained, https://www.melbournewater.com.au/planning-and-building/developer-guides-and-resources/drainage-schemes-and-contribution-rates [accessed on 16/04/2018], Melbourne Water Corporation. ",MWC,2018,b9_c3_r39
"Brown, R.R. and Farrelly, M. (2007), Institutional Impediments to Advancing Sustainable Urban Water Management: a Typology. International Rainwater Catchment Systems Conference and the 5th International Water Sensitive Urban Design Conference, Sydney, Australia.",Brown and Farrelly,2007,b9_c3_r4
"Paul, M.J. & Meyer, J.L., 2001, Streams in the urban landscape,. Annual Review of Ecology and Systematics, 32, 333-365.",Paul and Meyer,2001,b9_c3_r40
"Phillips, B.C. and Yu, S. (2015) “How robust are OSD and OSR Systems?”, Proceedings, 3rd International Erosion Control Conference and 9th International Water Sensitive Urban Design Conference, 20-22 October 2015, Darling Harbour",Phillips and Yu,2015,b9_c3_r41
"Shortle, J., (2013), Economics and environmental markets: Lessons from water-quality trading, Agricultural and Resource Economics Review, 42(1), 57-74.",Shortle,2013,b9_c3_r42
"UPRCT, (2005), Onsite stormwater detention handbook, Upper Parramatta River Catchment Trust",UPRCT,2005,b9_c3_r43
"Walsh, C.J., Roy, A.H., Feminella, J.W., Cottingham, P.D., Groffman, P.M., and Morgan, R.P., (2005), The urban stream syndrome: current knowledge and the search for a cure, Journal of the North American Benthological Society, 24, 706-723.",Walsh et al,2005,b9_c3_r44
"Walsh, C.J., Fletcher, T.D., Burns, M.J., (2012), Urban stormwater runoff: a new class of environmental flow problem, PLoS ONE 7(9), e45814.",Walsh et al ,2012,b9_c3_r45
"Walsh, C.W., Fletcher, T.D., Bos, D.G. and Imburger, S.J., (2015), Restoring a stream through retention of urban stormwater runoff: a catchment-scale experiment in a social–ecological system. Freshwater Science, 34(3).",Walsh et al,2015,b9_c3_r46
"Water by Design, (2014), Off-site stormwater quality offsets discussion paper, Healthy Waterways, Brisbane. ",Water by Design,2014,b9_c3_r47
"Bozovic R, Maksimovic C, Mijic A, Smith K. M, Suter I, Van Reeuwijk Met al., (2017), Blue Green Solutions. A Systems Approach to Sustainable and Cost-Effective Urban Development, Imperial College, London, UK",Bozovic et al,2017,b9_c3_r48
"United States Environmental Protection Authority (USEPA), (2008), Urban stormwater management in the United States, National Research Council. The National Academies Press, DC",USEPA,2008,b9_c3_r49
"Beven K.J., and Alcock R.E., (2012), Modelling everything everywhere: a new approach to decision making for water management under uncertainty, Freshwater Biology, 57(1) 124-132. ",Beven and Alcock,2012,b9_c3_r50
"Forrester J.W., 1969, Urban Dynamics. Massachusetts Institute of Technology Press, Cambridge, Massachusetts, USA.",Forrester,1969,b9_c3_r51
"Coombes P.J., and Kuczera, G., 2002, Integrated Water Cycle Management – moving towards systems understanding. WSUD02 Conference. Engineers Australia. Brisbane, Australia",Coombes and Kuczera,2002,b9_c3_r52
"Meadows D.H., 1999, Leverage points: places to intervene in the system, The Sustainability Institute, Hartland, USA.",Meadows,1999,b9_c3_r53
"Goyen A. G., (1981), Determination of rainfall runoff model parameters, Masters Thesis, NSW Institute of Technology, Sydney.  ",Goyen,1981,b9_c3_r54
"Clarke, R.D.S., (1990), Asset replacement: can we get it right? Water. pp.22-24",Clarke,1990,b9_c3_r5
"Coombes, P.J. and Barry, M.E. (2014), A systems framework of big data driving policy making - Melbourne's water future. OzWater14 Conference. Australian Water Association. Brisbane.",Coombes and Barry,2014,b9_c3_r6
"Coombes, P.J. and Barry, M.E. (2008), The relative efficiency of water supply catchments and rainwater tanks in cities subject to variable climate and the potential for climate change, Australian Journal of Water Resources, Volume 12, pp.85-100.",Coombes and Barry,2008,b9_c3_r7
"Coombes, P.J. and Barry, M.E. (2008), Determination of available storage in rainwater tanks prior to storm events. Hydrology and Water Resources Symposium. Engineers Australia. Adelaide.",Coombes and Barry,2008,b9_c3_r8
"Coombes, P.J. (2005), Integrated Water Cycle Management: Analysis of Resource Security. Water, Volume 32, pp.21-26.",Coombes,2005,b9_c3_r9
"ACT Department of Urban Services (1998), Design standards for urban infrastructure, section 1 : stormwater, 1.9 Retarding Basins,  p. 4.",ACT Department of Urban Services,1998,b9_c4_r1
"Department of Irrigation and Drainage (2012), Urban stormwater management manual for Malaysia (Maunual Saliran Mesra Alam Malaysia), ed. 2, Chapter 6: Rainwater Harvesting, p.18.",Department of Irrigation and Drainage,2012,b9_c4_r10
"Argue, J.R. (2014), 'Source Control' strategies in urban development and re-development: Can they also accommodate climate change?, Proceedings, of the 2014 Stormwater Australia National Conference, 13-17 October, Adelaide.",Argue,2014,b9_c4_r100
"Argue, J.R. and Pezzaniti, D. (2007), WSUD (Stormwater) Practices - Learning from nature: A discussion, Proceedings of the Rainwater and Urban Design Conference, IEAust. Sydney.",Argue and Pezzaniti,2007,b9_c4_r101
"Argue, J.R. and Pezzaniti, D. (2009), The need for quantity-related criteria in regional WSUD guidelines: A demonstration, Proceedings of the 2009 SIA NSW and VIC Annual Conference, SIA NSW & SIA VIC, 7 - 10 July, Albury.",Argue and Pezzaniti,2009,b9_c4_r102
"Argue, J.R. and Pezzaniti, D. (2010), The quantity domain of WSUD: Flooding and environmental flows, Proceedings of Stormwater 2010: SIA National Conference, 9-12 November, Sydney.",Argue and Pezzaniti,2010,b9_c4_r103
"Argue, J.R. and Pezzaniti, D. (2012), Use of WSUD 'source control' practices to manage floodwaters in urbanising landscapes: Developed and ultra-developed catchments, Proceedings of Stormwater 2012, National Conference of the Stormwater Industry Association, 15-19 October, Melbourne.",Argue and Pezzaniti,2012,b9_c4_r104
"Argue, J.R. and Scott, P. (2000), On-site Stormwater Retention (OSR) in residential xatchments: A better option?, Proceedings of the 40th Floodplain Management Conference, NSW Floodplain Management Authorities, 9-12 May, Parramatta.",Argue and Scott,2000,b9_c4_r105
